Base Currency,Currency,Exchange Rate
AOA,CAD,0.001459
AOA,CDF,2.466379
AOA,CHF,0.000844
AOA,CLF,2.5e-05
AOA,CLP,0.979351
AOA,CNH,0.007436
AOA,CNY,0.007447
AOA,COP,4.101807
AOA,CRC,0.540215
AOA,CUP,0.026097
AOA,CVE,0.099994
AOA,CZK,0.021961
AOA,DJF,0.193246
AOA,DKK,0.006765
AOA,DOP,0.068562
AOA,DZD,0.140934
AOA,EGP,0.051267
AOA,ERN,0.01631
AOA,ETB,0.169093
AOA,EUR,0.000907
AOA,FJD,0.002446
AOA,FKP,0.000792
AOA,FOK,0.006765
AOA,GBP,0.000792
AOA,GEL,0.002932
AOA,GGP,0.000792
AOA,GHS,0.011264
AOA,GIP,0.000792
AOA,GMD,0.079082
AOA,GNF,9.39775
AOA,GTQ,0.008342
AOA,GYD,0.227546
AOA,HKD,0.008289
AOA,HNL,0.028671
AOA,HRK,0.006833
AOA,HTG,0.142527
AOA,HUF,0.349773
AOA,IDR,18.444444
AOA,ILS,0.003336
AOA,IMP,0.000792
AOA,INR,0.095692
AOA,IQD,1.425284
AOA,IRR,46.278175
AOA,ISK,0.133478
AOA,JEP,0.000792
AOA,JMD,0.172789
AOA,JOD,0.000771
AOA,JPY,0.166871
AOA,KES,0.139151
AOA,KGS,0.095156
AOA,KHR,4.36237
AOA,KID,0.001593
AOA,KMF,0.446141
AOA,KRW,1.534932
AOA,KWD,0.000334
AOA,KYD,0.000906
AOA,KZT,0.54879
AOA,LAK,23.572561
AOA,LBP,97.318486
AOA,LKR,0.332814
AOA,LRD,0.193332
AOA,LSL,0.01766
AOA,LYD,0.005881
AOA,MAD,0.009943
AOA,MDL,0.018236
AOA,MGA,4.977993
AOA,MKD,0.057142
AOA,MMK,2.286573
AOA,MNT,3.868203
AOA,MOP,0.008534
AOA,MRU,0.043333
AOA,MUR,0.049674
AOA,MVR,0.016817
AOA,MWK,1.869788
AOA,MXN,0.019158
AOA,MYR,0.00441
AOA,MZN,0.06894
AOA,NAD,0.01766
AOA,NGN,1.558455
AOA,NIO,0.040021
AOA,NOK,0.01072
AOA,NPR,0.153057
AOA,NZD,0.001844
AOA,OMR,0.000418
AOA,PAB,0.001087
AOA,PEN,0.003658
AOA,PGK,0.004632
AOA,PHP,0.064006
AOA,PKR,0.306201
AOA,PLN,0.00387
AOA,PYG,7.171896
AOA,QAR,0.003958
AOA,RON,0.004621
AOA,RSD,0.108837
AOA,RUB,0.086541
AOA,RWF,1.566976
AOA,SAR,0.004078
AOA,SBD,0.008875
AOA,SCR,0.015296
AOA,SDG,0.591948
AOA,SEK,0.009808
AOA,SGD,0.001368
AOA,SHP,0.000792
AOA,SLE,0.026171
AOA,SLL,26.170781
AOA,SOS,0.620667
AOA,SRD,0.041407
AOA,SSP,4.947759
AOA,STN,0.022218
AOA,SYP,11.969244
AOA,SZL,0.01766
AOA,THB,0.033608
AOA,TJS,0.010023
AOA,TMT,0.00381
AOA,TND,0.003104
AOA,TOP,0.002613
AOA,TRY,0.045801
AOA,TTD,0.007389
AOA,TVD,0.001593
AOA,TWD,0.033727
AOA,TZS,2.65825
AOA,UAH,0.046022
AOA,UGX,3.894183
AOA,USD,0.001087
AOA,UYU,0.042584
AOA,UZS,13.150929
AOA,VES,0.327713
AOA,VND,28.27208
AOA,VUV,0.129948
AOA,WST,0.003008
AOA,XAF,0.594855
AOA,XCD,0.002936
AOA,XCG,0.001946
AOA,XDR,0.000789
AOA,XOF,0.594855
AOA,XPF,0.108216
AOA,YER,0.259288
AOA,ZAR,0.017664
AOA,ZMW,0.02382
AOA,ZWG,0.02825
AOA,ZWL,0.028252
ARS,ARS,1
ARS,AED,0.002529
ARS,AFN,0.045253
ARS,ALL,0.05671
ARS,AMD,0.262375
ARS,ANG,0.001233
ARS,AOA,0.633266
ARS,AUD,0.001031
ARS,AWG,0.001233
ARS,AZN,0.001169
ARS,BAM,0.001147
ARS,BBD,0.001377
ARS,BDT,0.084176
ARS,BGN,0.001147
ARS,BHD,0.000259
ARS,BIF,2.037984
ARS,BMD,0.000689
ARS,BND,0.000885
ARS,BOB,0.004765
ARS,BRL,0.003772
ARS,BSD,0.000689
ARS,BTN,0.061932
ARS,BWP,0.009194
ARS,BYN,0.002013
ARS,BZD,0.001377
ARS,CAD,0.000944
ARS,CDF,1.556599
ARS,CHF,0.000546
ARS,CLF,1.6e-05
ARS,CLP,0.621924
ARS,CNH,0.004809
ARS,CNY,0.004821
ARS,COP,2.591407
ARS,CRC,0.34156
ARS,CUP,0.016526
ARS,CVE,0.064659
ARS,CZK,0.01419
ARS,DJF,0.122376
ARS,DKK,0.004375
ARS,DOP,0.043368
ARS,DZD,0.089065
ARS,EGP,0.032844
ARS,ERN,0.010329
ARS,ETB,0.106304
ARS,EUR,0.000586
ARS,FJD,0.001563
ARS,FKP,0.000512
ARS,FOK,0.004375
ARS,GBP,0.000512
ARS,GEL,0.001855
ARS,GGP,0.000512
ARS,GHS,0.007209
ARS,GIP,0.000512
ARS,GMD,0.050618
ARS,GNF,6.014917
ARS,GTQ,0.005274
ARS,GYD,0.143822
ARS,HKD,0.005359
ARS,HNL,0.018137
ARS,HRK,0.004418
ARS,HTG,0.090093
ARS,HUF,0.225694
ARS,IDR,11.501841
ARS,ILS,0.002192
ARS,IMP,0.000512
ARS,INR,0.061932
ARS,IQD,0.900862
ARS,IRR,29.121311
ARS,ISK,0.086314
ARS,JEP,0.000512
ARS,JMD,0.109474
ARS,JOD,0.000488
ARS,JPY,0.107899
ARS,KES,0.088719
ARS,KGS,0.060154
ARS,KHR,2.757277
ARS,KID,0.001031
ARS,KMF,0.28849
ARS,KRW,0.993535
ARS,KWD,0.000212
ARS,KYD,0.000574
ARS,KZT,0.346914
ARS,LAK,14.897529
ARS,LBP,61.628507
ARS,LKR,0.213254
ARS,LRD,0.122468
ARS,LSL,0.011408
ARS,LYD,0.003717
ARS,MAD,0.006275
